original_name,drug_name,dose,form
stonosolvin 12 sachets,stonosolvin,0,sachets
stop cough syrup 120 ml,stop cough,120 ml,syrup
stop spray 120 ml,stop,120 ml,spray
stopadol 500mg 20 tabs.,stopadol,500mg,tabs
stopadol 650 mg 30 ext. rel. tabs.,stopadol,650 mg,ext. rel. tabs
stopadol cold & flu 20 caps.,stopadol cold & flu,0,caps
stopadol extra 20 tab.,stopadol extra,0,tab
stopadol forte 1000 mg 10 eff. sachets,stopadol forte,1000 mg,eff. sachets
stopadol night 20 f.c.tabs.,stopadol night,0,tabs
stopadol night 30 f.c.tabs.,stopadol night,0,tabs
stopain 20 tab.,stopain,0,tab
stoprrhea 2 mg 10 orodispersible tabs.,stoprrhea,2 mg,orodispersible tabs
stoprrhea 2 mg 30 orodispersible tabs.,stoprrhea,2 mg,orodispersible tabs
stopspasm 20 f.c. tabs.,stopspasm,0,tabs
stopspasm sol. for i.m/i.v 5 amp,stopspasm,0,sol
strainoliz 100mg/5ml susp. 150 ml,strainoliz,100mg/5ml,susp
strainoliz 100mg/5ml susp. 60 ml,strainoliz,100mg/5ml,susp
straivy 120 ml syrup,straivy,120 ml,syrup
strakopina 2.5 mg 20 f.c. tabs.,strakopina,2.5 mg,tabs
strakopina 2.5 mg 30 f.c. tabs.,strakopina,2.5 mg,tabs
strakopina 5 mg 20 f.c.tabs.,strakopina,5 mg,tabs
strakopina 5 mg 30 f.c.tabs.,strakopina,5 mg,tabs
straline body milk cream 200 ml,straline body milk,0,cream
straline body milk cream 500 ml,straline body milk,0,cream
straline emollient cream 200 ml,straline emollient,0,cream
straline emollient cream 500 ml,straline emollient,0,cream
straline hand cream 75 ml,straline hand,0,cream
straline moisturizing lip balm 5 gm,straline moisturizing lip,0,balm
straline nappy rash cream 75 ml,straline nappy rash,0,cream
straline rich cleanser 200 ml,straline rich,0,cleanser
strataderm gel 10 gm,strataderm,0,gel
strataderm gel 20 gm,strataderm,0,gel
strataderm gel 5 gm,strataderm,0,gel
stratamark gel 20 gm,stratamark,0,gel
stratamed gel 10 gm,stratamed,0,gel
stratamed gel 20 gm,stratamed,0,gel
stratamed gel 5 gm,stratamed,0,gel
strattera 10 mg 28cap,strattera,10 mg,cap
strattera 10mg 28 caps.,strattera,10mg,caps
strattera 18mg 28 caps,strattera,18mg,caps
strattera 18mg 28 caps.,strattera,18mg,caps
strattera 25mg 28 caps,strattera,25mg,caps
strattera 25mg 28 caps.,strattera,25mg,caps
strattera 40mg 28 caps,strattera,40mg,caps
strattera 40mg 28 caps.,strattera,40mg,caps
strattera 60 mg 14cap,strattera,60 mg,cap
strattera 60mg 28 caps.,strattera,60mg,caps
stravinon 30 capsules,stravinon,0,capsules
stravit hair lotion 120 ml,stravit hair,0,lotion
stravita cal 1000 mg calcium 30 f.c. tab,stravita cal calcium,1000 mg,tab
