original_name,drug_name,dose,form
histazine-1 0.1% syrup 100ml,histazine-1,0.1%,syrup
histazine-1 10 mg 10 tabs. (n/a),histazine-1,10 mg,tabs.
histazine-1 10 mg 30 tabs.,histazine-1,10 mg,tabs.
histazine-1 100mg/10ml oral drops 10 ml,histazine-1,100mg/10ml,oral drops
histazine-1 10mg 20 tab,histazine-1,10mg,tab
histine 16mg 20 tab.,histine,16mg,tab.
histine 16mg 20tab,histine,16mg,tab
histine 16mg tab,histine,16mg,tab
histine 24 mg 20 tab.,histine,24 mg,tab.
histine 24mg 10tab,histine,24mg,tab
histine 24mg 20tab,histine,24mg,tab
histine 8 mg 10tab,histine,8 mg,tab
histine 8 mg 30 tab,histine,8 mg,tab
histine 8mg 30 tab.,histine,8mg,tab.
histoacryl blue 0.5 ml  5 ampoules,histoacryl blue,0.5 ml,ampoules
histonic syrup 120 ml,histonic,0,syrup
histotec 16mg 20 f.c. tab,histotec,16mg,tab
histotec 24 mg 20 f.c.tabs.,histotec,24 mg,tabs.
histotec 8mg 30 f.c. tab,histotec,8mg,tab
hithrombin 10mg/ml 5 amp. for i.m. i.v. inj.,hithrombin,10mg/ml,amp.
hivit 21 - 20 caps.,hivit 21,0,caps.
hochsterpriver 200 mg 40 caps.,hochsterpriver,200 mg,caps.
hoffidal 400 i.u./0.2ml oral drops  20 ml,hoffidal,400 i.u./0.2ml,oral drops
hoffslim  30 caps.,hoffslim,0,caps.
hoffy max massage gel 60 gm,hoffy max massage,0,gel
hoffy max spray 120ml,hoffy max,0,spray
holdiprotect 5/40mg 7 f.c. tabs.,holdiprotect,5/40mg,tabs.
holdiprotect 5/80mg 7 f.c. tabs.,holdiprotect,5/80mg,tabs.
holdisar 16 mg 14 tab.,holdisar,16 mg,tab.
holiday kid syrup 120 ml,holiday kid,0,syrup
holoxan 1 gm i.v vial,holoxan,1 gm,vial
holoxan 2 gm i.v. inj.,holoxan,2 gm,inj.
homo 10 sachets,homo,0,sachets
honey clinic panthenol,honey clinic panthenol,0,0
honeyta 10 sachet,honeyta,0,sachet
honimag 20 tabs.,honimag,0,tabs.
honvan 300mg 5 ml-10amp,honvan,300mg/5 ml,amp
hopazad topical gel 20 gm,hopazad topical,0,gel
hopdetox 0.2 mg 20 f.c. tab.,hopdetox,0.2 mg,tab.
hopforhep 400mg 28 tablets,hopforhep,400mg,tablets
hopkinvit 30 sublingual tab,hopkinvit,0,sublingual tab
horest 50 mg gel,horest,50 mg,gel
horlicks 400 gm food drink,horlicks,0,food drink
hormo-6 25mg 20 f.c.tab.,hormo-6,25mg,tab.
hormston 10 mg 20 tab.,hormston,10 mg,tab.
horny goat weed 1000 mg 90 rapid release caps. (illegal import),horny goat weed,1000 mg,rapid release caps.
horny goat weed 500 mg 60 cap (pin),horny goat weed,500 mg,cap
horny goat weed 500 mg 90 cap (life),horny goat weed,500 mg,cap
horse chestnut capsule,horse chestnut,0,capsule
horsetail 440 mg 100 caps. (illegal import),horsetail,440 mg,caps.
