original_name,drug_name,dose,form
solarine 18 spf sun block lotion 120 ml,solarine 18 spf sun block,120 ml,lotion
solarine 18 spf sun block lotion 50 ml,solarine 18 spf sun block,50 ml,lotion
solarine 18 spf sun block lotion 70ml,solarine 18 spf sun block,70 ml,lotion
solarine 36 spf sun block lotion 100ml,solarine 36 spf sun block,100 ml,lotion
solarine 36 spf sun block lotion 120 ml,solarine 36 spf sun block,120 ml,lotion
solarine 36 spf sun block lotion 50 ml,solarine 36 spf sun block,50 ml,lotion
solcojelly 15 gm jelly,solcojelly,15 gm,jelly
solcoseryl 42.5mg/ml 5 amps.,solcoseryl,42.5 mg/ml,amps
solcoseryl 5 % top. oint. 20 gm,solcoseryl,20 gm,topical ointment
solee mind face cleanser 200ml,solee mind face cleanser,200 ml,cleanser
solee mind serum 80 ml,solee mind,80 ml,serum
soleen cream 75 gm,soleen,75 gm,cream
solespear care whitening cream,solespear care whitening,0,cream
solexa 20 sachets,solexa,0,sachets
solfenurin 10mg 20 tabs,solfenurin,10 mg,tabs
solian 200mg 30 scored tablets,solian,200 mg,scored tablets
solian 400mg 30 scored tablets,solian,400 mg,scored tablets
soliqua 100 units+33 mcg/ml 3 prefilled pens 3 ml,soliqua,100 units+33 mcg/ml,prefilled pens
soliqua 100 units+50 mcg/ml 3 prefilled pens 3 ml,soliqua,100 units+50 mcg/ml,prefilled pens
solitract 10 mg 30 f.c. tab.,solitract,10 mg,tab
solitract 5 mg 30 f.c. tab.,solitract,5 mg,tab
solitract compound 0.4mg 10 tabs,solitract compound,0.4 mg,tabs
solo care aqua solution 90 ml,solo care aqua,90 ml,solution
solo cream 125 gm,solo,125 gm,cream
solo cream 250 gm,solo,250 gm,cream
solo cream 50 gm,solo,50 gm,cream
solo sept foamin skin cleanser 14 sachets x 10 ml,solo sept foamin skin cleanser,10 ml,sachets
solo sept foaming skin cleanser 200 ml,solo sept foaming skin cleanser,200 ml,cleanser
solo topical lotion 120ml,solo topical,120 ml,lotion
solo zinc 20 tabs.,solo zinc,0,tabs
solodex anti-age eye contour cream gel 15 gm,solodex anti-age eye contour,15 gm,cream gel
solodex anti-aging serum 30 ml,solodex anti-aging,30 ml,serum
solodex antidandruff shampoo 200 ml,solodex antidandruff,200 ml,shampoo
solodex exfolear cleansing gel 200 ml,solodex exfolear cleansing,200 ml,gel
solodex exfolear dual corrector gel 40ml,solodex exfolear dual corrector,40 ml,gel
solodex exfolear topical spray 120ml,solodex exfolear topical,120 ml,spray
solodex hydractiv cleanser 200 ml,solodex hydractiv,200 ml,cleanser
solodex hydractiv lip balm 12 gm,solodex hydractiv,12 gm,lip balm
solodex hydractiv lip balm spf 15+ 12 gm,solodex hydractiv lip balm spf 15+,12 gm,lip balm
solodex hydractiv urea cream 200 gm,solodex hydractiv urea,200 gm,cream
solodex roots cream 120 ml,solodex roots,120 ml,cream
solodex roots elixir 60 ml,solodex roots,60 ml,elixir
solodex roots hair mask 150 gm,solodex roots hair,150 gm,mask
solodex roots lotion (accelerator) 60 ml,solodex roots (accelerator),60 ml,lotion
solodex roots rescue shots 8 amp. x 7 ml,solodex roots rescue shots,7 ml,ampules
solodex roots shampoo 200 ml,solodex roots,200 ml,shampoo
solodex whiteactiv cream 30 gm,solodex whiteactiv,30 gm,cream
solodine antiseptic soln. 10% 100 ml,solodine antiseptic,100 ml,solution
solofresh 0.2% eye drops 10 ml,solofresh,10 ml,eye drops
sologati 0.3% eye dps. 5 ml,sologati,5 ml,eye drops
