original_name,drug_name,dose,form
isis anise & lemon 25 filter bags,isis anise & lemon,0,filter bags
isis anise 12 filter bags,isis anise,0,filter bags
isis caraway 20 filter bags,isis caraway,0,filter bags
isis chamomile 12 filter bags,isis chamomile,0,filter bags
isis chamomile 20 filter bags,isis chamomile,0,filter bags
isis cinnamon 12 filter bags,isis cinnamon,0,filter bags
isis cinnamon 20 filter bags,isis cinnamon,0,filter bags
isis ginger & cinnamon 12 filter bags,isis ginger & cinnamon,0,filter bags
isis ginger & cinnamon 20 filter bags,isis ginger & cinnamon,0,filter bags
isis ginger & lemon 12 filter bags,isis ginger & lemon,0,filter bags
isis green tea 12 filter bags,isis green tea,0,filter bags
isis green tea with mint 12 filter bags,isis green tea mint,0,filter bags
isis hibiscus 12 filter bags,isis hibiscus,0,filter bags
isis hibiscus 20 filter bags,isis hibiscus,0,filter bags
isis peppermint 12 filter bags,isis peppermint,0,filter bags
isis peppermint 20 filter bags,isis peppermint,0,filter bags
isis secalia a.h.a 200 ml,isis secalia a.h.a,200 ml,0
isis secalia balm200 ml cream,isis secalia,200 ml,balm cream
isis teen derm k concentrate,isis teen,0,derm k concentrate
isis tilia 20 filter bags,isis tilia,0,filter bags
ismafron 10 sublingual tab,ismafron,10mg,sublingual tab
ismafron vial 3 million i.u,ismafron,3 million i.u,vial
ismn stada 40mg 20 cap,ismn stada,40mg,cap
ismn stada 40mg m.r. 20 cap.,ismn stada,40mg,cap
ismn stada 60mg 20 cap,ismn stada,60mg,cap
ismn stada 60mg m.r. 20 caps.,ismn stada,60mg,caps
ismo- 20 mg- 100 tab,ismo-,20 mg,tab
ismo- 20 mg- 20 tab,ismo-,20 mg,tab
iso antiseptic hand gel 300 ml,iso antiseptic hand,300 ml,gel
iso antiseptic hand gel 60 ml,iso antiseptic hand,60 ml,gel
iso antiseptic hand gel 75 ml,iso antiseptic hand,75 ml,gel
iso salt bottle 160 gm,iso salt,160 gm,bottle
iso-acnetin 10mg 30 caps,iso-acnetin,10mg,caps
iso-acnetin 20mg 30 caps,iso-acnetin,20mg,caps
isocid 100mg 20 tab.,isocid,100mg,tab
isocid forte 200 mg 10 tab,isocid forte,200 mg,tab
isocid forte 200 mg 200tab,isocid forte,200 mg,tab
isocid forte 200mg 10 tab.,isocid forte,200mg,tab
isodense cream 50 ml,isodense,50 ml,cream
isodense eye contour cream 15 ml,isodense,15 ml,eye contour cream
isodense serum 30 ml,isodense,30 ml,serum
isoderm urea cream,isoderm,0,urea cream
isofill eye contour cream 15 ml,isofill,15 ml,eye contour cream
isofill focus cream 50 ml,isofill focus,50 ml,cream
isofill focus cream rich 50 ml,isofill focus,50 ml,cream
isofill serum 30 ml,isofill,30 ml,serum
isoflavone 40 mg 20 f.c. tabs.,isoflavone,40 mg,tabs
isofluorane 100% inhalation solution (hospitals),isofluorane,100%,inhalation solution
isoflurane 100% inhalation solution 120ml,isoflurane,100% 120ml,inhalation solution
isoflurane-ait 100% inhaler 100 ml,isoflurane-ait,100% 100 ml,inhaler
