original_name,drug_name,dose,form
quinofloxachem 400 mg 5 f.c.tabs.,quinofloxachem,400 mg,tabs
quinolorox 500mg 10 f.c. tab.,quinolorox,500mg,tab
quinomoxin 400mg 5 f.c. tab.,quinomoxin,400mg,tab
quinospan 500 mg 10 tabs.,quinospan,500 mg,tabs
quinostarmax 500 mg 10 tabs.,quinostarmax,500 mg,tabs
quinostarmax 750 mg 10 tabs.,quinostarmax,750 mg,tabs
quinostarmax 750 mg 5 tabs,quinostarmax,750 mg,tabs
quitapex 100mg 30 f.c. tab.,quitapex,100mg,tab
quitapex 150mg 30 f.c. tab.,quitapex,150mg,tab
quitapex 200mg 30 f.c.tab.,quitapex,200mg,tab
quitapex 25mg 30 f.c.tab,quitapex,25mg,tab
quitapex 300mg xr 30 f.c. tab.,quitapex xr,300mg,tab
quitapex 400mg xr 30 f.c. tab.,quitapex xr,400mg,tab
quitapex 50mg 30 f.c. tab.,quitapex,50mg,tab
quitcool xr 150mg 10 ext. rel. f.c. tabs.,quitcool xr,150mg,tabs
quitcool xr 150mg 30 ext. rel. f.c. tabs.,quitcool xr,150mg,tabs
quitcool xr 200mg 30 ext. rel. f.c. tabs.,quitcool xr,200mg,tabs
quitcool xr 300mg 30 ext. rel. f.c. tabs.,quitcool xr,300mg,tabs
quitcool xr 400mg 30 ext. rel. f.c. tabs.,quitcool xr,400mg,tabs
quitcool xr 50mg 30 ext. rel. f.c. tabs.,quitcool xr,50mg,tabs
quitiadel 200 mg 10 f.c. tab.,quitiadel,200 mg,tab
quitiadel 25 mg 30 f.c. tab.,quitiadel,25 mg,tab
qurevo 12.5/75/50mg 56 f.c. tabs. (moh hospitals only),qurevo,12.5/75/50mg,tabs
qv bar 100 gm,qv bar,100 gm,bar
qv bath oil 1 litre,qv bath oil,1 litre,oil
qv bath oil 250 ml,qv bath oil,250 ml,oil
qv cream 100 gm,qv cream,100 gm,cream
qv cream 250 gm,qv cream,250 gm,cream
qv cream 50 gm,qv cream,50 gm,cream
qv face cleanser 500 ml,qv face cleanser,500 ml,cleanser
qv face day cream 75 gm,qv face day cream,75 gm,cream
qv face exfoliating polish 150 gm,qv face exfoliating polish,150 gm,polish
qv face eye make-up remover 15 ml,qv face eye make-up remover,15 ml,remover
qv face gentle cleanser 250 ml,qv face gentle cleanser,250 ml,cleanser
qv face gentle cleanser 40 ml,qv face gentle cleanser,40 ml,cleanser
qv face nurturing night cream 50 gm,qv face nurturing night cream,50 gm,cream
qv face purifying mask 75 gm,qv face purifying mask,75 gm,mask
qv face revitalising eye cream 15 gm,qv face revitalising eye cream,15 gm,cream
qv feet heel balm 50 gm,qv feet heel balm,50 gm,balm
qv gentle wash 1 litre,qv gentle wash,1 litre,wash
qv gentle wash 250 ml,qv gentle wash,250 ml,wash
qv gentle wash 50ml,qv gentle wash,50ml,wash
qv hand cream 50 gm,qv hand cream,50 gm,cream
qv heel balm 50 gm,qv heel balm,50 gm,balm
qv intensive body moisturiser cream 30 gm,qv intensive body moisturiser cream,30 gm,cream
qv kids balm 100 gm,qv kids balm,100 gm,balm
qv kids moisturising cream 100 gm,qv kids moisturising cream,100 gm,cream
qv kids wash 200 ml,qv kids wash,200 ml,wash
qv kids wash 350 ml,qv kids wash,350 ml,wash
qv lip balm 15 gm,qv lip balm,15 gm,balm
