original_name,drug_name,dose,form
limitless baby d drops 1600 i.u./ml 15 ml,limitless baby d,1600 i.u./ml,drops
limitless balance probiotic 30 dark choco. balls,limitless balance probiotic,0,dark choco. balls
limitless c-zinc original 30 lozenges,limitless c-zinc original,0,lozenges
limitless c-zinc plus 20 f.c. tabs.,limitless c-zinc plus,0,tabs.
limitless chromax cut 30 sachets,limitless chromax cut,0,sachets
limitless conceive q 30 chew. tabs.,limitless conceive q,0,chew. tabs.
limitless fortalase original 300 ceip unit/ml syrup 80 ml,limitless fortalase original,300 ceip unit/ml,syrup
limitless glow hair 30 f.c. tabs.,limitless glow hair,0,tabs.
limitless kids multivitamins & calcium 30 chocolate balls,limitless kids multivitamins & calcium,0,chocolate balls
limitless kids multivitamins & iron 30 chocolate balls,limitless kids multivitamins & iron,0,chocolate balls
limitless kids multivitamins syrup 140 ml,limitless kids multivitamins,0,syrup
limitless kids multivitamins syrup 250 ml,limitless kids multivitamins,0,syrup
limitless kids probiotic 30 chocolate balls,limitless kids probiotic,0,chocolate balls
limitless lactoferrin 100 mg 14 sachets,limitless lactoferrin,100 mg,sachets
limitless lactoferrin 100 mg 30 sachets,limitless lactoferrin,100 mg,sachets
limitless lipoferrex 40mg 30 tabs,limitless lipoferrex,40mg,tabs
limitless man max 100 tabs,limitless man max,0,tabs
limitless man max 30 tabs,limitless man max,0,tabs
limitless milga max 30 tabs.,limitless milga max,0,tabs.
limitless omega-3 2000 mg (per serv.) 30 caps.,limitless omega-3,2000 mg,caps.
limitless ossofortin d3 (2000 i.u.) 30 tabs.,limitless ossofortin d3,2000 i.u.,tabs.
limitless ossofortin d3 (5000 i.u.) 30 tabs.,limitless ossofortin d3,5000 i.u.,tabs.
limitless osteodense original 30 tabs,limitless osteodense original,0,tabs
limitless power max max 30 tab.,limitless power max max,0,tab.
limitless prenatal max 30 tabs.,limitless prenatal max,0,tabs.
limitless prostanorm max 30 f.c. tabs.,limitless prostanorm max,0,tabs.
limitless sleep aid dual 30 tabs.,limitless sleep aid dual,0,tabs.
limitless stevia original 50 sticks,limitless stevia original,0,sticks
limitless turmeric 500 mg 60 caps.,limitless turmeric,500 mg,caps.
limitless vegan protein powder 1000 gm,limitless vegan protein,1000 gm,powder
limitless vitamin c 500 mg 20 tabs.,limitless vitamin c,500 mg,tabs.
limitless woman max 100 tabs.,limitless woman max,0,tabs.
limitless woman max 30 tabs.,limitless woman max,0,tabs.
limitless zinc 25 mg 30 tabs.,limitless zinc,25 mg,tabs.
linahayzin 2.5mg/5 ml syrup 120 ml,linahayzin,2.5mg/5ml,syrup
linajenta 5 mg 10 tabs.,linajenta,5 mg,tabs.
linatraje 5 mg 21 f.c.tabs.,linatraje,5 mg,tabs.
linca 30 capsules,linca,0,capsules
lincobiotic 300 mg 3 amp,lincobiotic,300 mg,amp
lincobiotic 300mg i.m./i.v. 3 amp.,lincobiotic,300mg,amp.
lincobiotic 600mg/2ml i.m./i.v. 3 amp.,lincobiotic,600mg/2ml,amp.
lincocin 300mg/ml i.m./i.v. 3 amp.,lincocin,300mg/ml,amp.
lincocin 600mg/2ml i.m./i.v. 3 amp,lincocin,600mg/2ml,amp
lincocine 300mg 3 amp,lincocine,300mg,amp
lincocine 600mg 3 amp,lincocine,600mg,amp
lincomycin hydrochloride 600mg/2ml i.v./i.m. 3 amp.,lincomycin hydrochloride,600mg/2ml,amp.
linconocure 600mg/2ml solutn. for i.v/i.m injection (amp.),linconocure,600mg/2ml,solutn.
lindo hair oil spray 120 ml,lindo hair oil,0,spray
lindo hair oil spray 250 ml,lindo hair oil,0,spray
lindormin 250 mcg- 10 tab,lindormin,250 mcg,tab
