original_name,drug_name,dose,form
bioblas shampoo & conditioner 2*1 200ml,bioblas,200ml,shampoo & conditioner
bioblas shampoo & conditioner 2*1 400ml,bioblas,400ml,shampoo & conditioner
bioblas shampoo & conditioner for slow growing hair 400ml,bioblas,400ml,shampoo & conditioner
bioblas shampoo & conditioner for weak & damaged hair 200ml,bioblas,200ml,shampoo & conditioner
bioblas shampoo & conditioner for weak & damaged hair 400ml,bioblas,400ml,shampoo & conditioner
bioblas shampoo anti-dandruff 200ml,bioblas,200ml,shampoo
bioblas shampoo anti-dandruff 400ml,bioblas,400ml,shampoo
bioblas shampoo for colored and highlighted hair 400ml,bioblas,400ml,shampoo
bioblas shampoo for dry damaged and dyed hair 200ml,bioblas,200ml,shampoo
bioblas shampoo for dry damaged and dyed hair 400ml,bioblas,400ml,shampoo
bioblas shampoo for normal hair 200ml,bioblas,200ml,shampoo
bioblas shampoo for normal hair 400ml,bioblas,400ml,shampoo
bioblas shampoo for oily hair 200ml,bioblas,200ml,shampoo
bioblas shampoo for oily hair 400ml,bioblas,400ml,shampoo
bioblas styling and protecting cream 150ml,bioblas styling and protecting,150ml,cream
biobronch syrup 120 ml,biobronch,120 ml,syrup
biocardis 40mg 14 tab.,biocardis,40mg,tab.
biocardis hct 80/12.5 mg 20 tab.,biocardis hct,80/12.5 mg,tab.
biocare cream 20 gm,biocare,20 gm,cream
biocare cream 60 gm,biocare,60 gm,cream
biocare dx cream 20 gm,biocare dx,20 gm,cream
biocare dx cream 60 gm,biocare dx,60 gm,cream
biocasa 250 ml mouth wash,biocasa,250 ml,mouth wash
biocefixim 100mg/5ml pd. for oral susp. 60 ml,biocefixim,100mg/5ml,oral susp.
biocefixim 200mg/5ml pd. for oral susp. 60 ml,biocefixim,200mg/5ml,oral susp.
biochol 600 mg 30 caps.,biochol,600 mg,caps.
bioclear lotion 150 ml,bioclear,150 ml,lotion
biocorneal 13.5 mg/ml intraocular pref. syringe,biocorneal,13.5 mg/ml,pref. syringe
bioderm cream 20 gm,bioderm,20 gm,cream
bioderma atoderm pp baume cream 200 ml,bioderma atoderm pp baume,200 ml,cream
bioderma cicabio cream 40 ml,bioderma cicabio,40 ml,cream
bioderma node ds- anti recurrence shampoo 125ml,bioderma node ds,125ml,shampoo
bioderma sebium pore refiner 30ml,bioderma sebium pore,30ml,refiner
bioderma sensibio rich 40 ml,bioderma sensibio rich,40 ml,0
biodex 120g cream,biodex,120g,cream
biodrex liquid v.wash,biodrex,0,v.wash
biodroxil 1 gm 8 f.c.tab.,biodroxil,1 gm,tab.
biodroxil 250mg/5ml susp. 60ml,biodroxil,250mg/5ml,susp.
biodroxil 500mg 8 caps.,biodroxil,500mg,caps.
biodroxil 500mg/5ml susp. 60ml,biodroxil,500mg/5ml,susp.
biodx 10 billion 8 sachets,biodx,10 billion,sachets
biofaximin 200 mg 30 f.c. tab.,biofaximin,200 mg,tab.
biofilm gel 60 gm,biofilm,60 gm,gel
bioflex massage cream 60 gm,bioflex massage,60 gm,cream
bioforce cream 40 gm,bioforce,40 gm,cream
biofraiche 120 ml lotion,biofraiche,120 ml,lotion
biofraiche 40 gm cream,biofraiche,40 gm,cream
biofreeze gel 59 ml,biofreeze,59 ml,gel
biofreeze roll-on 59ml,biofreeze,59ml,roll-on
biofreeze topical spray 59ml,biofreeze,59ml,spray
