original_name,drug_name,dose,form
biotene mouthwash 474 ml,biotene,474 ml,mouthwash
biotene mouthwash 59 ml,biotene,59 ml,mouthwash
biotica topical cream 60 gm,biotica,60 gm,topical cream
bioticaflox 500 mg 7 f.c. tabs.,bioticaflox,500 mg,tabs
bioticaflox 750 mg 7 f.c. tabs.,bioticaflox,750 mg,tabs
biotin & bepanthene  500 amp,biotin & bepanthene,0,amp
biotin 10.000 mcg 100 softgels (puritans pride),biotin,10.000 mcg,softgels
biotin 10.000 mcg 100 tabs. (natrol),biotin,10.000 mcg,tabs
biotin 10000mcg 50 softgels (illegal import),biotin,10000mcg,softgels
biotin 5000 mcg 60 veg. caps. (now),biotin,5000 mcg,veg. caps.
biotin 7500mcg 50 tabs. (illegal import),biotin,7500mcg,tabs
biotin condtioner 12 oz 354 ml,biotin,354 ml,condtioner
biotin forte 5mg 60 caps.,biotin forte,5mg,caps.
biotin natural 24 cap,biotin natural,0,cap
biotin roche 0.5mg 6 amp,biotin roche,0.5mg,amp
biotin roche 5mg 20 cap,biotin roche,5mg,cap
biotin sano pharma 30 caps,biotin sano pharma,0,caps
biotin shampoo 12 oz 354 ml,biotin,354 ml,shampoo
biotrue multi-purpose solution 120 ml,biotrue multi-purpose,120 ml,solution
biotrue multi-purpose solution 300 ml,biotrue multi-purpose,300 ml,solution
biovalley soothing cream 100 gm,biovalley,100 gm,soothing cream
biovanic 500 mg 5 f.c. tabs.,biovanic,500 mg,tabs
biovera lotion,biovera,0,lotion
biovit 12 depot 2 amp,biovit 12 depot,0,amp
biovita 60 gummies,biovita,0,gummies
biovitone 24 capsules,biovitone,0,capsules
bioworld cal 30 tabs,bioworld cal,0,tabs
bioworld cal syrup 120 ml,bioworld cal,120 ml,syrup
biowrinkle cream 30 gm,biowrinkle,30 gm,cream
biozan cream 50 gm,biozan,50 gm,cream
biperiden 2mg 30 tab.,biperiden,2mg,tab.
bisadyl 10mg 10 adults supp.,bisadyl,10mg,adults supp.
bisadyl 10mg 5 adults supp.,bisadyl,10mg,adults supp.
bisadyl 10mg/37ml enema,bisadyl,10mg/37ml,enema
bisadyl 5mg 30 enteric coated tab.,bisadyl,5mg,enteric coated tab.
bisadyl 5mg for children 10 supp.,bisadyl,5mg,supp.
bisadyl 5mg for children 5 supp. (n/a),bisadyl,5mg,supp.
biski krem biscuit with milk 200 gm,biski krem biscuit with milk,200 gm,0
biski krem biscuit with milk 75 gm,biski krem biscuit with milk,75 gm,0
bismuth oxide 120 mg 56 f.c. tabs,bismuth oxide,120 mg,tabs
bisobeta 5mg 20 f.c. tab.,bisobeta,5mg,tab.
bisocard 10mg 30 f.c.tab.,bisocard,10mg,tab.
bisocard 2.5mg 30 f.c.tab.,bisocard,2.5mg,tab.
bisocard 5mg 30 f.c.tab.,bisocard,5mg,tab.
bisocard plus 10/6.25mg 30 f.c. tab,bisocard plus,10/6.25mg,tab
bisocard plus 5/12.5mg 30 f.c.tab,bisocard plus,5/12.5mg,tab
bisolock 10mg 20 f.c.tab,bisolock,10mg,tab
bisolock 10mg 30 f.c.tab,bisolock,10mg,tab
bisolock 2.5mg 30 f.c.tab,bisolock,2.5mg,tab
bisolock 5mg 30 f.c.tabs.,bisolock,5mg,tabs.
