original_name,drug_name,dose,form
megamox 457mg/5ml susp. 70ml,megamox,457mg/5ml,susp.
megamox 625mg 14 f.c. tabs.,megamox,625mg,tabs.
megamox es 642.9mg/5ml susp. 100 ml,megamox es,642.9mg/5ml,susp.
megan shampoo 200ml,megan,0,shampoo
megaprazole 20 mg vial. for i.v. inf.,megaprazole,20mg,vial.
megaprazole 40 mg vial. for i.v. inf.,megaprazole,40mg,vial.
megapro hair shampoo 250 ml,megapro hair,0,shampoo
megatab 2 tabs,megatab,0,tabs
megatron calcium 30tabs,megatron calcium,0,tabs
megavit zinc 20 caps.,megavit zinc,0,caps.
megestron 150mg/ml i.m.vial,megestron,150mg/ml,vial
meglucon 850mg 30 f.c.tab.,meglucon,850mg,tab.
megy one 10 mg 20 tab,megy one,10mg,tab
megy-one 10mg 20 f.c. tablets,megy-one,10mg,tablets
meiacton 200mg 20 f.c. tabs,meiacton,200mg,tabs
mekako soap 100 gm,mekako,0,soap
meki a-h 60ml syrup,meki a-h,0,syrup
meki ah 2.5mg/5ml syrup60ml,meki ah,2.5mg/5ml,syrup
melaakne 200ml facial wash,melaakne,0,facial wash
melaakne cream 30gm,melaakne,0,cream
melaakne serum 50 ml,melaakne,0,serum
melaakne soap 50 gm,melaakne,0,soap
melacryst 1.5 mg 20 oro-dispersible films,melacryst,1.5mg,oro-dispersible films
melacryst 3 mg 20 oro-dispersible films,melacryst,3mg,oro-dispersible films
meladinine paint 15 ml,meladinine,0,paint
meladodo 3mg 30 tabs,meladodo,3mg,tabs
melador cream 50 gm,melador,0,cream
melano acne soap 100 gm,melano acne,0,soap
melano alpha extra cream 30 gm,melano alpha extra,0,cream
melano anti-dandruff shampoo 400 ml,melano anti-dandruff,0,shampoo
melano body lotion 300 ml,melano body,0,lotion
melano intimate feminine wash 200 ml,melano intimate feminine,0,wash
melano massage cream plus 40 gm,melano massage cream plus,0,cream
melano melo oint,melano melo,0,oint
melano melo scar gel,melano melo scar,0,gel
melano milk and honey 100 gm,melano milk and honey,0,0
melano shampoo 400 ml,melano,0,shampoo
melano shea turmeric soap,melano shea turmeric,0,soap
melano snail lotion 220 ml,melano snail,0,lotion
melano sulfur soap,melano sulfur,0,soap
melano whitening cream sens areas 100 ml,melano whitening cream sens areas,0,cream
melanocool cream 40 gm,melanocool,0,cream
melanocool cream 60gm,melanocool,0,cream
melanodin 10% antiseptic soln. 200 ml,melanodin,10%,antiseptic soln.
melanofree cream 30 gm,melanofree,0,cream
melanofree lotion 200 ml,melanofree,0,lotion
melanofree soap 100 gm,melanofree,0,soap
melanor 10 sachet,melanor,0,sachet
melanor 20 sachet,melanor,0,sachet
melanoxidil 5% hair spray 60 ml,melanoxidil,5%,hair spray
