original_name,drug_name,dose,form
ebetrong massage cream 60 gm,ebetrong massage cream,60 gm,cream
ebixa 10mg 28 f.c. tab.,ebixa,10mg,tab
eca stack nutra sport 120 capsules,eca stack nutra sport,0,capsules
ecaciproflox 500mg 20 tabs,ecaciproflox,500mg,tabs
ecaciproflox 750mg 20 tabs,ecaciproflox,750mg,tabs
ecalta 100 mg 30 ml i.v. vial,ecalta,100 mg,vial
ecanopram 10 mg 14 f.c. tabs.,ecanopram,10 mg,tabs
ecanopram 20 mg 14 f.c. tabs.,ecanopram,20 mg,tabs
ecatrova 20mg 21 tabs,ecatrova,20mg,tabs
ecatrova 40mg 21 tabs,ecatrova,40mg,tabs
eccotravin 120 mg 10 caps.,eccotravin,120 mg,caps
eccotravin 60 mg 10 caps.,eccotravin,60 mg,caps
eccotriol topical oint. 15 gm,eccotriol,15 gm,oint
echinacea 125mg 20 cap,echinacea,125mg,cap
echinacea syrup 60 ml,echinacea,60 ml,syrup
echinacea tincture 50 ml (imported),echinacea,50 ml,tincture
echinacea- 400 mg 24 cap,echinacea,400 mg,cap
echinaton 100 ml syrup,echinaton,100 ml,syrup
echo gel 250 ml,echo gel,250 ml,gel
eckhasyl 6 sachets,eckhasyl,0,sachets
eckhasyl powder,eckhasyl,0,powder
ecluda sachets,ecluda,0,sachets
ecoderm 1% topical lotion 20 ml,ecoderm,20 ml,lotion
ecoff top. cream 50 gm,ecoff,50 gm,cream
ecolla 10 gram 10 sachets,ecolla,10 gram,sachets
econazole 1% vag. cream 40gm,econazole,40gm,cream
econazole 1%topical spray 120 ml,econazole,120 ml,spray
econet cream 60 gm,econet,60 gm,cream
econopred plus 1% eye drops 5 ml,econopred plus,5 ml,eye drops
ecoprin 325mg 10 enteric coated tab.,ecoprin,325mg,tab
ecosap 20 caps,ecosap,0,caps
ecosap 30 caps.,ecosap,0,caps
ecosence facial wash 100 ml,ecosence facial wash,100 ml,wash
ecosense a-d shampoo 60ml,ecosense a-d,60ml,shampoo
ecosense face mask 50 ml,ecosense face mask,50 ml,mask
ecosense one tone cream 50 gm,ecosense one tone,50 gm,cream
ecosense stick,ecosense stick,0,stick
ecoto 20 pieces,ecoto,0,pieces
ecovaryl 150mg 3 vag. supp.,ecovaryl,150mg,supp
ecrinal anp 20 hair cream 50ml,ecrinal anp 20,50ml,cream
ecrinal anp after shampoo conditioning balm 150ml,ecrinal anp after shampoo conditioning balm,150ml,balm
ecrinal anp hair lotion for men 200 ml,ecrinal anp hair lotion,200 ml,lotion
ecrinal anp hair lotion for women 200 ml,ecrinal anp hair lotion,200 ml,lotion
ecrinal anp hair mask 125 ml,ecrinal anp hair mask,125 ml,mask
ecrinal anp shampoo for men 200 ml,ecrinal anp shampoo,200 ml,shampoo
ecrinal anp shampoo for men 400 ml,ecrinal anp shampoo,400 ml,shampoo
ecrinal anp shampoo for women 200 ml,ecrinal anp shampoo,200 ml,shampoo
ecrinal anp shampoo for women 400 ml,ecrinal anp shampoo,400 ml,shampoo
ecrinal anp40 8 ampoules*5ml,ecrinal anp40,5ml,ampoules
ecrinal fortifying black mascara serum 7 ml,ecrinal fortifying black mascara serum,7 ml,serum
