original_name,drug_name,dose,form
selokenzoc 200 mg 28 prolonged rel. tabs.,selokenzoc,200 mg,prolonged rel. tabs
selokenzoc 25 mg 28 prolonged rel. tabs,selokenzoc,25 mg,prolonged rel. tabs
selokenzoc 50 mg 28 prolonged rel. tabs,selokenzoc,50 mg,prolonged rel. tabs
selona 20 sachets,selona,0,sachets
selona plus 10 sachets,selona plus,0,sachets
selox 12.5mg 10 tab,selox,12.5mg,tab
selox 25mg 10 tab,selox,25mg,tab
selox 25mg/5ml susp 60 ml,selox,25mg/5ml,susp
selsun blue 118 ml balanced shampoo (n/a),selsun blue balanced shampoo,0,shampoo
selsun blue 118 ml dual action shampoo (n/a),selsun blue dual action shampoo,0,shampoo
selsun blue 118 ml itchy dry scalp shampoo (n/a),selsun blue itchy dry scalp shampoo,0,shampoo
selsun blue 118 ml moisturiing shampoo (n/a),selsun blue moisturiing shampoo,0,shampoo
selsun blue 207 ml balanced shampoo (n/a),selsun blue balanced shampoo,0,shampoo
selsun blue 207 ml dual action shampoo (n/a),selsun blue dual action shampoo,0,shampoo
selsun blue 207 ml itchy dry scalp shampoo (n/a),selsun blue itchy dry scalp shampoo,0,shampoo
selsun blue 207 ml moisturiing shampoo (n/a),selsun blue moisturiing shampoo,0,shampoo
seltop hair shampoo 250 ml,seltop hair shampoo,0,shampoo
selvin firming cream 120 gm,selvin firming cream,0,cream
semabella syrup 125 ml,semabella,0,syrup
semabot tab 20 tablets,semabot,0,tab
semahemo tab 20 tablets,semahemo,0,tab
semasolo 120 ml syrup,semasolo,0,syrup
semi-daonil 2.5mg 20 tab. (n/a),semi-daonil,2.5mg,tab
semical. 500mg-20 tab (chew),semical,500mg,tab (chew)
sempra-guide 10 caps.,sempra-guide,0,caps
semprex 8mg 24 caps.,semprex,8mg,caps
semto 30 tab,semto,0,tab
sendoben 30tab,sendoben,0,tab
sendocin 9 - 100mg 12 vaginal ovules,sendocin 9,100mg,vaginal ovules
sendocin vaginal supp,sendocin,0,vaginal supp
senidal 500mg 4 f.c. tab.,senidal,500mg,tab
senna-lax 30 tab.,senna-lax,0,tab
senolan cream 50 gm,senolan cream,0,cream
senolan facial cleansing gel 150 ml,senolan facial cleansing gel,0,gel
senolin cream 60 gm,senolin cream,0,cream
senorein 4mg 10 tab.,senorein,4mg,tab
sens light soap 100 gm,sens light soap,0,soap
sens light whitening cream 60 gm,sens light whitening cream,0,cream
sensajoy acne cream 50 gm,sensajoy acne cream,0,cream
sensajoy acne facial cleanser 200 ml,sensajoy acne facial cleanser,0,facial cleanser
sensajoy acne night gel 50 gm,sensajoy acne night gel,0,gel
sensibio cleansing milk (lait) 250 ml,sensibio cleansing milk,0,milk
sensibio eye contour gel 15ml,sensibio eye contour gel,0,gel
sensibio forte 40 ml,sensibio forte,0,0
sensibio h2o 100 ml,sensibio h2o,0,0
sensibio h2o 250 ml,sensibio h2o,0,0
sensibio h2o 500 ml,sensibio h2o,0,0
sensibio light cream 40 ml,sensibio light cream,0,cream
sensibio mask 75 ml,sensibio mask,0,mask
sensibio rich cream 40 ml,sensibio rich cream,0,cream
