original_name,drug_name,dose,form
greatier shampoo with keratin 250 ml,Greatier With Keratin,250 ml,shampoo
green & lean vitamin c 500 mg 30 caps.,Green & Lean Vitamin C,500 mg,caps
green & lean zinc 50 mg 30 caps.,Green & Lean Zinc,50 mg,caps
green - alpha 3 miu/ml (1ml) inj.,Green - Alpha,3 miu/ml,inj
green - alpha 3 miu/ml (2ml) inj.,Green - Alpha,3 miu/ml,inj
green coffee 15 sachets,Green Coffee,0,sachets
green coffee bean extract 800mg 60 caps. (illegal import),Green Coffee Bean Extract,800mg,caps
green coffee complex 20 cap,Green Coffee Complex,0,cap
green coffee complex 60 cap,Green Coffee Complex,0,cap
green energy 20 cap,Green Energy,0,cap
green foods magma plus 150 gm,Green Foods Magma Plus,150 gm,0
green hirt extract 30cap,Green Hirt Extract,0,cap
green magma organic 150 mg powder,Green Magma Organic,150 mg,powder
green massage oil spray,Green Massage Oil,0,spray
green tea 30 tablets,Green Tea,0,tablets
green tea extract 30tab,Green Tea Extract,0,tab
green tea plus 60 tab,Green Tea Plus,0,tab
green tea standardized extract 500 mg 120 caps. (illegal import),Green Tea Standardized Extract,500 mg,caps
green tea tab,Green Tea,0,tab
green- a- 3000.000 i.u 1 vial 1 ml,Green-a-,3000.000 i.u,vial
green- alpha 300000 iu- vials,Green-Alpha,300000 iu,vials
green-viii inj. 250 i.u. / vial.,Green-VIII,250 i.u.,inj
green-viii inj. 250 i.u./vial,Green-VIII,250 i.u.,inj
greena 10 sachets 6 gm,Greena,6 gm,sachets
greenese baby cream 75 gm,Greenese Baby,75 gm,cream
greenomaxi 20 caps.,Greenomaxi,0,caps
greenomaxi 30 caps,Greenomaxi,0,caps
greeny 20 soft gelatin caps,Greeny,0,soft gelatin caps
greepvit syrup 120 ml,Greepvit,0,syrup
gridamom 0.1% cream 30 gm,Gridamom,0.1%,cream
gridamom 0.1% oint 30 gm,Gridamom,0.1%,oint
gripe baby water syrup 120 ml,Gripe Baby Water,0,syrup
gripe vite syrup 120 ml,Gripe Vite,0,syrup
gripe water bambino syrup 120 ml,Gripe Water Bambino,0,syrup
gripe water smile syrup 120 ml,Gripe Water Smile,0,syrup
grippo 200mg supp.,Grippo,200mg,supp
grippostad 20 caps,Grippostad,0,caps
grisan tab,Grisan,0,tab
griseofulvin 125mg 25 tab,Griseofulvin,125mg,tab
griseovin 2.5% susp. 120ml,Griseovin,2.5%,susp
grodesire syrup 120 ml,Grodesire,0,syrup
gromol 5mg 10 sachets,Gromol,5mg,sachets
groten tab,Groten,0,tab
grow max lotion 125ml,Grow Max,125ml,lotion
growth formula for kids 10 sachets 330 gm - banana,Growth Formula,330 gm,sachets
growth formula for kids 10 sachets 330 gm - strawberry,Growth Formula,330 gm,sachets
growth formula for kids 250 gm powder,Growth Formula,250 gm,powder
growth formula for kids 400 gm pd. - banana,Growth Formula,400 gm,powder
growth formula for kids 7 sachets 231 gm,Growth Formula,231 gm,sachets
growth formula pregnant woman 10 sachets 250 gm-chocholate,Growth Formula,250 gm,sachets
