original_name,drug_name,dose,form
glycerin infantile 5 supp. (pharco),glycerin infantile,0,supp.
glycerin luna soap,glycerin luna soap,0,soap
glycerin pure 60 ml,glycerin pure,0,0
glycerine 1.61gm 10 adult supp.,glycerine,1.61 gm,adult supp.
glycerol adult 6 supp,glycerol,0,adult supp
glycerol adult 6 supp.b.p.2003,glycerol,0,adult supp.
glycerol paed. 6 supp.b.p.2003,glycerol,0,paed. supp.
glycerol pediatric supp 6 supp,glycerol,0,pediatric supp
glycerotone 0.4 % rectal oint. 50 gm,glycerotone,0.4 %,rectal oint.
glyceryl trinitrate 50 mg 10 ml(5 amp),glyceryl trinitrate,50 mg,amp
glyceryl trinitrate 50 mg 10ml- 1amp,glyceryl trinitrate,50 mg,amp
glyceryl trinitrate 50 mg/10 ml 5 amp.,glyceryl trinitrate,50 mg/10 ml,amp.
glycine 1.5% (el nasr) irrigation soln. 3000 ml,glycine,1.5 %,irrigation soln.
glycine 1.5% (mottahedoon) irrigation soln. 3000 ml,glycine,1.5 %,irrigation soln.
glycine 1.5% (otsuka) irrigation soln. 1000 ml,glycine,1.5 %,irrigation soln.
glycine 1.5% (otsuka) irrigation soln. 2000 ml (n/a),glycine,1.5 %,irrigation soln.
glyco-a cream 30 ml,glyco-a,0,cream
glycodal 30 chew. tab.,glycodal,0,chew. tab.
glycodal-m 480mg/5ml susp. 100 ml,glycodal-m,480 mg/5 ml,susp.
glycolighten plus 56.7 g,glycolighten plus,0,0
glycophos 1 mmol/ml 10 vial 20 ml,glycophos,1 mmol/ml,vial
glymed cream,glymed,0,cream
glyocal 30 tab,glyocal,0,tab
glypressin 1 mg/5ml pd. for i.v. inj. vial,glypressin,1 mg/5 ml,vial
glypressin 1 mg/8.5ml i.v. 5 amp.,glypressin,1 mg/8.5 ml,amp.
glyxambi 10/5 mg 30 f.c. tabs.,glyxambi,10/5 mg,tabs.
glyxambi 25/5 mg 30 f.c. tabs.,glyxambi,25/5 mg,tabs.
gngicare mouth wash 200 ml,gngicare,0,mouth wash
go lite sugar 25 sachet,go lite sugar,0,sachet
go lite sweetener 1 gm*100 sachets,go lite sweetener,1 gm,sachets
go lite sweetener 1 gm*25 sachets,go lite sweetener,1 gm,sachets
go lite sweetener 1 gm*50 sachets,go lite sweetener,1 gm,sachets
goanet herb 2 gm 15 sachets,goanet herb,2 gm,sachets
gobed cream 50 gram,gobed,0,cream
gola  20 pieces,gola,0,pieces
gold cleansing gel 250 ml,gold cleansing gel,0,gel
gold extend ph8 cleanser 150 ml,gold extend ph8,0,cleanser
gold fem foam 150 ml,gold fem,0,foam
gold lightening foam 150 ml,gold lightening,0,foam
gold mix cream 50 gm,gold mix,0,cream
gold plus vag.douche 250 ml,gold plus,0,vag.douche
gold standard 100% casein 1.82 kg,gold standard 100% casein,0,0
gold standard 100% isolate 2.28 kg,gold standard 100% isolate,0,0
gold standard 100% whey protein 2.27 kg,gold standard 100% whey protein,0,0
gold standard 100% whey protein 4.67 kg,gold standard 100% whey protein,0,0
gold standard 100% whey protein 454 gm,gold standard 100% whey protein,0,0
gold standard 100% whey protein 907 gm,gold standard 100% whey protein,0,0
gold standard gainer 4.67 kg,gold standard gainer,0,0
gold standard pre-workout 300 gm,gold standard pre-workout,0,0
gold vita cap,gold vita,0,cap
