original_name,drug_name,dose,form
sulfax optima formula cream 120 gm,sulfax optima formula,120 gm,cream
sulfax optima formula gel 120 gm,sulfax optima formula,120 gm,gel
sulfax plus massage gel 120 gm,sulfax plus massage,120 gm,gel
sulfax plus massage gel 60 gm,sulfax plus massage,60 gm,gel
sulfiselen 2.5% 100ml lotion,sulfiselen,2.5%,lotion
sulfiselen 2.5% lotion,sulfiselen,2.5%,lotion
sulfozinc 10mg/5ml pd. for susp. 80ml,sulfozinc,10mg/5ml,suspension
sulfozinc 20mg/5ml syrup 80ml,sulfozinc,20mg/5ml,syrup
sulpan 100 ml lotion,sulpan,100 ml,lotion
sulpan cream 50 gram,sulpan,50 gram,cream
sulpepta 25 mg 30 tabs.,sulpepta,25 mg,tabs
sulperazon 1.5 gm (i.v/i.m) inj. (hospitals price),sulperazon,1.5 gm,injection
sulperazon 1.5 mg 1 vial,sulperazon,1.5 mg,vial
sulpha boracyl solution 125 ml,sulpha boracyl,125 ml,solution
sulphadiazine 500 mg 10 tab.,sulphadiazine,500 mg,tab
sulphadiazine- 0.5gm-10tab,sulphadiazine,0.5gm,tab
sulphadiazine- 1000 tab,sulphadiazine,0,tab
sulphadimidine. 0.5gm-1000 tab,sulphadimidine,0.5gm,tab
sulphadimidine. 20 tab,sulphadimidine,0,tab
sulphargin 1% cream 20 gm,sulphargin,1%,cream
sulphargin 1% cream 80 gm,sulphargin,1%,cream
sulphargin 20 gm cream,sulphargin,20 gm,cream
sulphargin 80g cream,sulphargin,80g,cream
sulphaure 12 eff.sachets,sulphaure,0,sachets
sulphazine cream 30 gm,sulphazine,30 gm,cream
sulpher oint 10%- 20 mg,sulpher,10%,ointment
sulpher ointment 15 gm 10%,sulpher,10%,ointment
sulpher ointment 15 gm 5%,sulpher,5%,ointment
sulphur soap (weiser) 45 gm,sulphur,45 gm,soap
sultan 50 mg 20 cap,sultan,50 mg,cap
sultan 50mg 20 caps.,sultan,50mg,caps
sumaclear feminine wash 200 ml,sumaclear feminine,200 ml,wash
sumagraine 100mg 2 f.c. tab.,sumagraine,100mg,tab
sumagraine 6mg amp,sumagraine,6mg,amp
sumigran 25mg 2 tab,sumigran,25mg,tab
sumigran 6mg/0.5 ml prefilled syringe,sumigran,6mg/0.5 ml,syringe
sun booster gel spf50+ 80 gm,sun booster spf50plus,80 gm,gel
sun dry cream 60 gm,sun dry,60 gm,cream
sun off 60 spf cream 40 ml,sun off 60 spf,40 ml,cream
sun out spf 50+ lotion 120 ml,sun out spf 50plus,120 ml,lotion
sun play 50+ sunscreen cream 60 gm,sun play 50plus sunscreen,60 gm,cream
sun rise cream 50 gm,sun rise,50 gm,cream
sun sola solution 120 ml,sun sola,120 ml,solution
sun sola solution 30 ml,sun sola,30 ml,solution
sun sola solution 60 ml,sun sola,60 ml,solution
sun top 30 spf topical loton 100 ml,sun top 30 spf,100 ml,lotion
sun top 50+ spf topical cream 50 gm,sun top 50plus spf,50 gm,cream
sun top 50+ spf topical loton 50 ml,sun top 50plus spf,50 ml,lotion
sun-clinic spf 30 cream 50 gm,sun-clinic spf 30,50 gm,cream
sun-clinic spf 50+ cream 50 gm,sun-clinic spf 50plus,50 gm,cream
