original_name,drug_name,dose,form
cokidol oil 120 ml,cokidol,120 ml,oil
cokidol shampoo 200 ml,cokidol,200 ml,shampoo
cola - chond 30 tabs,cola - chond,0,tabs
colaj d 10 sachets,colaj d,0,sachets
colaze 10 sachets,colaze,0,sachets
colchicine 1mg 30 tab,colchicine,1mg,tab
colchicine 500mcg 100 tab,colchicine,500mcg,tab
cold control 20 tab,cold control,0,tab
cold free 20 tab.,cold free,0,tab
cold stop n 30 f.c. tabs,cold stop n,0,tabs
cold stop syrup 120 ml,cold stop,120 ml,syrup
coldact 16 caps.,coldact,0,caps
coldal syrup 120 ml,coldal,120 ml,syrup
coldamaris prophylactic nasal spray 20 ml,coldamaris prophylactic,20 ml,nasal spray
coldatrexy 30 f.c. tabs,coldatrexy,0,tabs
coldex-2 18 f.c.tab.(n/a),coldex-2,0,tab
coldinase 10 tablets,coldinase,0,tablets
colestroless 500mg 30 f.c. tabs.,colestroless,500mg,tabs
colgate my first,colgate my first,0,0
colgicomb 10 sachets,colgicomb,0,sachets
colgimor 10 sachets 12 gm,colgimor,12 gm,sachets
colgy 10 sachets,colgy,0,sachets
colgy plus 10 sachets,colgy plus,0,sachets
colgyran 10 sachets,colgyran,0,sachets
coli-urinal eff. gr. 60 gm,coli-urinal,60 gm,eff. gr.
colicalcedron 2 tabs.,colicalcedron,0,tabs
colifuran 100mg 20 tab.,colifuran,100mg,tab
colimex 50000i.u./ml syrup 60ml,colimex,50000i.u./ml,syrup
colir cusi cicloplejico eye drops,colir cusi cicloplejico,0,eye drops
colircusi cicloplejico 1% eye drops 10 ml,colircusi cicloplejico,1%,eye drops
colisolvine eff salt 12/packets,colisolvine,12 mg,eff salt
colistimethate sodium 1 m.i.u. pd for inj./inf./oral 10 vials,colistimethate sodium,1 m.i.u.,pd for inj./inf./oral
colistin 1.5 m.i.u. 20 tab,colistin,1.5 m.i.u.,tab
colistin sulphate 750.000 iu/15ml susp. 120ml,colistin sulphate,750.000 iu/15ml,susp.
colistin sulphate 750.000 iu/15ml susp. 60ml,colistin sulphate,750.000 iu/15ml,susp.
colitra 10 sachet,colitra,0,sachet
colitra plus 30 tab,colitra plus,0,tab
colixin 1 m.i.u. pd for inj./inf./inh. 30 vials,colixin,1 m.i.u.,pd for inj./inf./inh.
collacogen 30 sachets,collacogen,0,sachets
collag flex 30 tabs,collag flex,0,tabs
collagemoon 30 f.c. tabs.,collagemoon,0,tabs
collagen beauty maddox 15 drinkable amp. x 25 ml,collagen beauty maddox,25 ml,drinkable amp.
collagen contour 15 vial,collagen contour,0,vial
collagen joints maddox 15 drinkable amp. x 25 ml,collagen joints maddox,25 ml,drinkable amp.
collagen oral powder 10 sachets,collagen oral powder,0,sachets
collagenex 10 sachets,collagenex,0,sachets
collagenko 30 caps.,collagenko,0,caps
collagix 15 sachets,collagix,0,sachets
collagix 6 sachets,collagix,0,sachets
collapet whitening cream 60 gm,collapet whitening,60 gm,cream
