original_name,drug_name,dose,form
optiguard 3mg/ml eye dps. 15 ml,optiguard,3mg/ml,eye dps
optilax syrup 120 ml,optilax,0,syrup
optilubric 0.32% eye drops 30*0.5 ml sdu,optilubric,0.32%,eye drops
optimized folate 1000 mcg 100 tabs.(illegal import),optimized folate,1000 mcg,tabs
optimol 5% eye drops,optimol,5%,eye drops
optimum 120 ml syrup,optimum,0,syrup
optipred 10mg/ml eye drops (susp.) 5 ml,optipred,10mg/ml,eye drops (susp.)
optiray 300mg/ml i.v. 12 vial 100 ml,optiray,300mg/ml,i.v.
optiray 300mg/ml i.v. 25 vial 50 ml,optiray,300mg/ml,i.v.
optiray 350mg/ml i.v. 12 vial 100 ml,optiray,350mg/ml,i.v.
optiray 350mg/ml i.v. vial 200 ml,optiray,350mg/ml,i.v.
optiray 350mg/ml i.v. vial 50 ml,optiray,350mg/ml,i.v.
optiskin whitening cream 50 gm,optiskin whitening,0,cream
optive eye drops 30*0.4 ml sdu,optive,0,eye drops
optive lubricant eye dps. 15 ml,optive lubricant,0,eye dps
optivisc 20mg/2ml intra-articular prefilled syringe,optivisc,20mg/2ml,intra-articular prefilled syringe
optivisc 30mg/3ml intra-articular prefilled syringe,optivisc,30mg/3ml,intra-articular prefilled syringe
optivisc 60mg / 2ml prefilled syringe,optivisc,60mg / 2ml,prefilled syringe
optivisc 90mg / 3ml prefilled syringe,optivisc,90mg / 3ml,prefilled syringe
optivita perfect 20 caps.,optivita perfect,0,caps
optizolin eye drops 10 ml,optizolin,0,eye drops
opto q3 0.3 % eye drops 5 ml,opto q3,0.3 %,eye drops
optocetine 0.5% eye drops,optocetine,0.5%,eye drops
optoflame 0.1% eye drops,optoflame,0.1%,eye drops
optotrope eye drops,optotrope,0,eye drops
optovac 20 tab,optovac,0,tab
optozoline eye drops 10 ml,optozoline,0,eye drops
optozoline eye drops 15 ml,optozoline,0,eye drops
optrex eye drops original imp,optrex,0,eye drops
opty cough syrup 120 ml,opty cough,0,syrup
opty prost 20 caps.,opty prost,0,caps
ora 5 mouth wash,ora 5,0,mouth wash
ora collagen c 120 tabs.,ora collagen c,0,tabs
ora collagen c 30 tabs.,ora collagen c,0,tabs
ora free 1.4% oral spray,ora free,1.4%,oral spray
ora protect 120 ml. mouth wash,ora protect,0,mouth wash
ora- pal 100 cap,ora- pal,0,cap
ora-c 50 sachets,ora-c,0,sachets
ora-c eff 6 sachets,ora-c eff,0,sachets
ora-dent mouth wash 120ml,ora-dent,0,mouth wash
ora-pal 20 caps.,ora-pal,0,caps
ora.zed mouth wash 120ml,ora.zed,0,mouth wash
orabest mouth spray,orabest,0,mouth spray
oracal 500mg 30 tablets,oracal,500mg,tablets
oracare mouth wash,oracare,0,mouth wash
oracef 100mg/5ml susp. 60ml,oracef,100mg/5ml,susp.
oracin mouth wash 240ml,oracin,0,mouth wash
oracin verde mouth wash 125ml,oracin verde,0,mouth wash
oracitrin mouth wash 200 ml,oracitrin,0,mouth wash
oracure oral gel 15 gm,oracure,0,oral gel
