original_name,drug_name,dose,form
whey protein 454 gm,whey protein,454 gm,0
whey protein isolate powder 2268 gm (5 lbs) (now),whey protein isolate,2268 gm,powder
whey protein isolate powder 544 gm (1.2 lbs) (now),whey protein isolate,544 gm,powder
whey protein isolate powder chocolate 816 gm (1.8 lbs) (now),whey protein isolate chocolate,816 gm,powder
whey protein isolate powder vanilla 816 gm (1.8 lbs) (now),whey protein isolate vanilla,816 gm,powder
whey protein powder 2100 gm 70 serve,whey protein,2100 gm,powder
whey protein powder 420 gm 14 serve,whey protein,420 gm,powder
whey protein powder 900 gm 30 serve,whey protein,900 gm,powder
whitbiel whitening cream 50 gm,whitbiel whitening,50 gm,cream
white & bright cream 50 gm,white & bright,50 gm,cream
white bell cream 60 gm,white bell,60 gm,cream
white code cream 50 gram,white code,50 gram,cream
white cream (no-rash) 100 gm,white (no-rash),100 gm,cream
white fair cream 60 gm,white fair,60 gm,cream
white field oint,white field,0,ointment
white means white facial wash 200 ml,white means white facial,200 ml,wash
white means white skin serum 40 ml,white means white skin,40 ml,serum
white objective creme moussant eclaircissante 200ml,white objective moussant eclaircissante,200ml,creme
white objective lightening cream day care 30ml,white objective lightening day care,30ml,cream
white objective lightening fluid day care 30ml,white objective lightening day care,30ml,fluid
white objective lightening serum night care 30ml,white objective lightening night care,30ml,serum
white precipitate oint 30 gm,white precipitate,30 gm,ointment
white sat cream 50 gm,white sat,50 gm,cream
white shadow cream 25 gm,white shadow,25 gm,cream
white shadow cream 40 gm,white shadow,40 gm,cream
white touch cream 60 ml,white touch,60 ml,cream
white wello cream 120 ml,white wello,120 ml,cream
whitefeild oint 30 gm,whitefeild,30 gm,ointment
whitefield ointment,whitefield,0,ointment
whitex cream 50 gm,whitex,50 gm,cream
whiton cream 60 gm,whiton,60 gm,cream
wideprex 100mg/5ml susp. 60ml,wideprex,100mg/5ml,suspension
wideprex 400 mg 5 caps.,wideprex,400 mg,capsules
wiferment 10 capsules,wiferment,0,capsules
wincef 1 gm i.m. / i.v. vial,wincef,1 gm,vial
wincef 2gm vial i.m & i.v inj.,wincef,2gm,vial
wincef 500mg i.m./i.v. vial,wincef,500mg,vial
windipine 10mg 30 tab.,windipine,10mg,tablet
windipine 5mg 30 tab.,windipine,5mg,tablet
windy 200mg 10 sachet,windy,200mg,sachet
windy hair cream 50 gm,windy hair,50 gm,cream
wingen collagen 10 sachet,wingen collagen,0,sachet
winner 30g baby cream,winner baby,30g,cream
winpenem 1 gm i.v. vial,winpenem,1 gm,vial
winpenem 500 mg i.v. vial,winpenem,500 mg,vial
winrho sdf 120mcg (600i.u.) i.m./i.v. vial,winrho sdf,120mcg,vial
winrho sdf 300mcg (1500i.u.) i.m./i.v.vial,winrho sdf,300mcg,vial
winter mixture susp 60 ml,winter mixture,60 ml,suspension
winterest cream 50 gm,winterest,50 gm,cream
winthriaxone 0.5,winthriaxone,0.5 mg,0
